scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vax7777,All,50,All,3406876,na,na,na,na,na,632.95,na,na,na,na,305355.67,na,na,na,na,8990.00
vax7777,0-4 yrs,60,High,14310.91,na,na,na,na,na,1404.39,na,na,na,na,215851.30,na,na,na,na,2783.42
vax7777,0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,176.38,na,na,na,na,1299425.00,na,na,na,na,15358.17
vax7777,0-4 yrs,60,All,223608,na,na,na,na,na,254.97,na,na,na,na,469173.28,na,na,na,na,5923.96
vax7777,5-19 yrs,60,High,40938.3,na,na,na,na,na,2956.69,na,na,na,na,453565.20,na,na,na,na,6704.55
vax7777,5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,272.98,na,na,na,na,2009500.00,na,na,na,na,26900.79
vax7777,5-19 yrs,60,All,639661,na,na,na,na,na,444.74,na,na,na,na,817003.39,na,na,na,na,11789.87
vax7777,20-64 yrs,60,High,321847.06,na,na,na,na,na,2270.38,na,na,na,na,175782.80,na,na,na,na,4510.06
vax7777,20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,310.70,na,na,na,na,1026529.00,na,na,na,na,24364.89
vax7777,20-64 yrs,60,All,2235049,na,na,na,na,na,592.90,na,na,na,na,279804.60,na,na,na,na,7108.57
vax7777,65+ yrs,60,High,157981.7,na,na,na,na,na,5079.74,na,na,na,na,192986.90,na,na,na,na,13460.60
vax7777,65+ yrs,60,Non-high,150576.3,na,na,na,na,na,695.81,na,na,na,na,201291.70,na,na,na,na,13803.15
vax7777,65+ yrs,60,All,308558,na,na,na,na,na,2940.38,na,na,na,na,193910.74,na,na,na,na,13499.28
vax7777,All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,60,All,3406876,na,na,na,na,na,632.95,na,na,na,na,305358.46,na,na,na,na,8990.06
vax7778,0-4 yrs,30,High,14310.91,na,na,na,na,na,1364.00,na,na,na,na,209642.40,na,na,na,na,2703.37
vax7778,0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,135.98,na,na,na,na,1001817.00,na,na,na,na,11840.56
vax7778,0-4 yrs,30,All,223608,na,na,na,na,na,214.58,na,na,na,na,394839.99,na,na,na,na,4985.41
vax7778,5-19 yrs,30,High,40938.3,na,na,na,na,na,2938.98,na,na,na,na,450848.00,na,na,na,na,6664.38
vax7778,5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,255.27,na,na,na,na,1879115.00,na,na,na,na,25155.29
